trilat,trilong,ssid,qos,transid,firsttime,lasttime,lastupdt,netid,name,type,comment,wep,bcninterval,freenet,dhcp,paynet,userfound,channel,rcois,encryption,country,region,road,city,housenumber,postalcode
41.67665863,-107.97698975,acs2,1,20040816-00000,2004-08-16T20:00:00.000Z,2004-08-16T21:00:00.000Z,2022-07-09T08:00:00.000Z,00:02:6F:03:AD:9A,,infrastruc,,N,0,?,?,?,False,11,,none,US,WY,I 80;US 30,,,
41.72523499,-107.60240936,,0,20110813-00000,2011-08-12T20:00:00.000Z,2011-08-13T22:00:00.000Z,2011-08-13T20:00:00.000Z,00:02:6F:44:A8:1B,,????,,?,0,?,?,?,False,0,,unknown,US,WY,,,,
41.67480087,-107.9797821,<no ssid>,0,20070129-00000,2007-01-29T08:00:00.000Z,2010-10-02T20:00:00.000Z,2022-07-09T08:00:00.000Z,00:02:6F:45:75:49,,????,,?,0,?,?,?,False,0,,unknown,US,WY,I 80;US 30,,,
41.67918015,-107.97006989,FalcoEnergy,0,20110813-00000,2011-08-13T01:00:00.000Z,2011-08-14T17:00:00.000Z,2022-07-09T08:00:00.000Z,00:02:6F:A9:CE:11,,infra,,Y,0,?,?,?,False,1,,wep,US,WY,I 80;US 30,,,
41.71149826,-107.80136871,flyingj,1,20070426-00000,2007-04-22T17:00:00.000Z,2007-04-26T07:00:00.000Z,2022-07-09T09:00:00.000Z,00:02:8A:E1:D1:3E,,probe,,?,0,?,?,Y,False,0,,unknown,US,WY,I 80;US 30,,,
41.74320602,-107.64292908,Lee,1,20070426-00000,2007-04-22T17:00:00.000Z,2007-04-26T07:00:00.000Z,2022-07-09T09:00:00.000Z,00:04:23:53:71:E4,,probe,,?,0,?,?,?,False,0,,unknown,US,WY,I 80;US 30;WY 789,,,
41.66717911,-108.02022552,,0,20070418-00000,2007-04-18T14:00:00.000Z,2007-04-18T19:00:00.000Z,2022-07-09T08:00:00.000Z,00:04:23:94:83:44,,????,,?,0,?,?,?,False,0,,unknown,US,WY,I 80;US 30,,,82336
41.6775589,-107.97410583,Wamsutter-77,6,20190629-00000,2019-06-26T12:00:00.000Z,2020-02-18T10:00:00.000Z,2023-08-26T05:00:00.000Z,00:04:56:11:80:18,,infra,,2,0,?,?,?,False,1,,wpa2,US,WY,I 80;US 30,,,
41.67801666,-107.97284698,Wamsutter-77_G,4,20190918-00000,2019-09-18T04:00:00.000Z,2020-03-28T02:00:00.000Z,2023-06-03T08:00:00.000Z,00:04:56:11:80:1C,,infra,,2,0,?,?,?,False,149,,wpa2,US,WY,I 80;US 30,,,
41.67315292,-107.9822998,Wamsutter-43,0,20230401-00000,2023-04-01T04:00:00.000Z,2023-04-01T04:00:00.000Z,2023-04-01T05:00:00.000Z,00:04:56:11:80:C0,,infra,,2,0,?,?,?,False,1,,wpa2,US,WY,I 80;US 30,,,
41.67308044,-107.98336029,Wamsutter-56,7,20180401-00000,2018-04-01T16:00:00.000Z,2019-01-03T21:00:00.000Z,2022-07-09T08:00:00.000Z,00:04:56:11:83:C8,,infra,,2,0,?,?,?,False,1,,wpa2,US,WY,I 80;US 30,,,82336
41.67284012,-107.98377991,Wamsutter-56_5G,2,20180401-00000,2018-04-01T17:00:00.000Z,2019-01-02T19:00:00.000Z,2022-07-09T08:00:00.000Z,00:04:56:11:83:CC,,infra,,2,0,?,?,?,False,44,,wpa2,US,WY,I 80;US 30,,,82336
41.679142,-107.97023773,AP-101,7,20200801-00000,2020-08-01T12:00:00.000Z,2023-06-03T08:00:00.000Z,2023-08-24T11:00:00.000Z,00:04:56:11:84:08,,infra,,2,0,?,?,?,False,1,,wpa2,US,WY,I 80;US 30,,,
41.67498016,-107.97918701,AP-303-7,0,20190103-00000,2019-01-02T14:00:00.000Z,2019-01-03T19:00:00.000Z,2022-07-09T08:00:00.000Z,00:04:56:11:84:98,,infra,,2,0,?,?,?,False,1,,wpa2,US,WY,I 80;US 30,,,
41.67560577,-107.9781723,AP-303-7-5G,4,20180702-00000,2018-07-02T15:00:00.000Z,2020-08-01T19:00:00.000Z,2022-07-09T08:00:00.000Z,00:04:56:11:84:9C,,infra,,2,0,?,?,?,False,44,,wpa2,US,WY,I 80;US 30,,,
41.67729568,-107.9743576,GDW-AP,0,20180401-00000,2018-04-01T16:00:00.000Z,2018-04-01T19:00:00.000Z,2022-07-09T08:00:00.000Z,00:04:56:11:84:A0,,infra,,2,0,?,?,?,False,11,,wpa2,US,WY,I 80;US 30,,,
41.67593002,-107.97702789,Wamsutter-73,3,20191013-00000,2019-08-07T21:00:00.000Z,2021-11-17T20:00:00.000Z,2021-11-17T20:00:00.000Z,00:04:56:11:84:B0,,infra,,2,0,?,?,?,False,6,,wpa2,US,WY,I 80;US 30,,,
41.67616653,-107.97706604,Wamsutter-73G,2,20200405-00000,2020-04-05T01:00:00.000Z,2021-08-11T12:00:00.000Z,2022-07-09T08:00:00.000Z,00:04:56:11:84:B4,,infra,,2,0,?,?,?,False,149,,wpa2,US,WY,I 80;US 30,,,
41.68139648,-107.96580505,Wamsutter-78,0,20200816-00000,2001-12-31T21:00:00.000Z,2020-08-16T19:00:00.000Z,2022-07-09T08:00:00.000Z,00:04:56:11:85:30,,????,,W,0,?,?,?,False,1,,wpa,US,WY,I 80;US 30,,,
